"Career, technical or professional training certificate"
"Education","-1","-1","-1","-1","-1","-1","-1","35100","33300","32900","28000","32700","34100","31000"
"Visual and performing arts, and communications technologies","255","270","225","265","370","455","410","24700","24400","21200","24300","24600","24800","27700"
"Humanities","-1","-1","-1","-1","325","220","340","-1","-1","-1","-1","23100","17400","22400"
"Social and behavioral sciences and law","-1","-1","-1","-1","190","205","160","46300","38900","43600","30400","21100","24800","31400"
"Business, management and public administration","280","370","395","465","865","845","950","40500","40400","39400","36900","36300","36200","35300"
"Physical and life sciences and technologies","5","0","-1","-1","-1","-1","5","-1","-1","-1","-1","47100","41300","-1"
"Mathematics, computer and information sciences","195","215","235","230","270","315","430","45900","47700","45300","44700","38700","41600","43100"
"Architecture, engineering, and related technologies","4625","5700","5565","5850","8255","8345","8375","42800","42900","42800","39800","35500","36000","38200"
"Agriculture, natural resources and conservation","140","150","120","-1","165","190","165","42700","45500","38400","40000","39000","36500","38900"
"Health and related fields","595","780","775","795","1145","990","925","47600","49500","50500","47000","37100","36000","38200"
"Personal, protective and transportation services","950","1200","1040","945","1690","1685","1590","42100","41300","40600","40800","35300","37300","39100"
"Other instructional programs","-1","-1","5","-1","0","5","-1","-1","-1","-1","-1","-1","-1","-1"
"Career, technical or professional training diploma"
"Education","110","115","130","140","150","155","180","44900","40800","45200","39800","43800","40600","41500"
"Visual and performing arts, and communications technologies","595","665","590","720","1730","1905","2065","29300","30700","28700","29600","28400","29800","29700"
"Humanities","-1","-1","100","-1","655","635","720","29000","29900","30900","23500","34100","35900","37100"
"Social and behavioral sciences and law","295","350","375","405","1125","1280","1165","38200","40200","37000","40800","35000","35600","36200"
"Business, management and public administration","2145","2360","2565","2635","6780","6865","7690","39900","39600","40500","39200","36700","36900","38200"
"Physical and life sciences and technologies","140","140","135","145","450","470","485","45800","42800","43300","42100","39800","39400","41000"
"Mathematics, computer and information sciences","565","630","670","655","1540","1770","1725","42900","42600","42200","42800","43000","42200","43000"
